product_name,product_type,brand,brand_tier,price,price_segment,num_ingredients,num_skin_types,num_effects,complexity_score,has_key_active,skin_dry,skin_sensitive,skin_acne_prone,skin_oily,skin_combination,skin_normal,effect_hydrating,effect_barrier_repair,effect_soothing,effect_sun_protection,effect_acne_control,effect_brightening,effect_exfoliating,effect_anti-aging,effect_anti_aging,effect_general_skincare,product_cluster
NIP+FAB Dragons Blood Fix Serum 50ml,Serum,NIP+FAB,Budget,19.95,Affordable,29,1,1,0.23319422150882824,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
By Terry Cellularose CC Serum 30ml (Various Shades),Serum,By,Premium,61.0,Premium,46,1,2,0.35245585874799357,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NIP+FAB Salicylic Fix Serum Extreme 2% 50ml,Serum,NIP+FAB,Budget,19.95,Affordable,19,4,3,0.4539646869983949,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
NIOD Multi-Molecular Hyaluronic Complex 15ml,Serum,NIOD,Premium,25.0,Affordable,28,1,4,0.35727126805778486,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Medik8 Crystal Retinal 6,Serum,Medik8,Premium,59.0,Premium,37,1,4,0.3977207062600321,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
PIXI Collagen and Retinol Serum 30ml,Serum,PIXI,Mid-range,26.0,Mid-range,18,4,4,0.4923274478330658,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1
Elizabeth Arden Ceramide Capsules Advanced (90 Capsules),Serum,Elizabeth Arden,Premium,84.0,Premium,24,2,2,0.31357945425361156,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 30 Pieces (Sleeved Version),Serum,Elizabeth Arden,Premium,42.0,Mid-range,26,2,3,0.36542536115569824,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2
Tan-Luxe Super Glow Body Hyaluronic Self-Tan Serum 150ml,Serum,Tan-Luxe,Premium,35.0,Mid-range,47,1,2,0.35695024077046544,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
La Roche-Posay Rosaliac AR Intense Serum 40ml,Serum,La Roche-Posay,Mid-range,19.5,Affordable,12,1,4,0.28536115569823434,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
La Roche-Posay Toleriane Ultra Cream,Serum,La Roche-Posay,Mid-range,18.5,Affordable,14,1,3,0.25149277688603533,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 30ml,Serum,Clinique,Mid-range,45.0,Mid-range,48,4,4,0.6271589085072231,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1
Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 60 Pieces (Sleeved Version),Serum,Elizabeth Arden,Premium,72.0,Premium,26,2,3,0.36542536115569824,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2
VICHY Minéral 89 Hyaluronic Acid Hydration Booster 75ml,Serum,VICHY,Mid-range,30.0,Mid-range,10,1,1,0.14780096308186194,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PIXI Glow Tonic Serum 30ml,Serum,PIXI,Mid-range,26.0,Mid-range,26,1,3,0.30542536115569824,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
DECLÉOR Aromessence Neroli Amara Serum 15ml,Serum,DECLÉOR,Premium,36.4,Mid-range,11,1,1,0.15229534510433385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
The Ordinary Amino Acids + B5,Serum,The Ordinary,Budget,5.9,Budget,25,1,1,0.2152166934189406,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lancôme Advanced Génifique Eye and Lash Serum - Light Pearl 20ml,Serum,Lancôme,Premium,44.55,Mid-range,26,1,2,0.26256821829855537,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
REN Clean Skincare Radiance Perfection Serum,Serum,REN,Premium,38.0,Mid-range,36,1,3,0.35036918138041734,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Sanctuary Spa Hyaluronic Wonder Oil Serum 30ml,Serum,Sanctuary Spa,Budget,20.0,Affordable,30,1,2,0.280545746388443,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
La Roche-Posay Hydraphase Intense Serum (30ml),Serum,La Roche-Posay,Mid-range,22.0,Affordable,16,1,1,0.17476725521669342,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L'Oréal Paris Hydra Genius Liquid Care Moisturiser Combination Skin 70ml,Serum,L'Oréal,Budget,9.99,Budget,34,1,2,0.29852327447833066,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bareMinerals SkinLongevity Vital Power Infusion Serum 50ml,Serum,bareMinerals,Mid-range,48.0,Mid-range,45,4,4,0.6136757624398074,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1
REN Clean Skincare Evercalm Anti-Redness Serum,Serum,REN,Premium,32.0,Mid-range,28,1,3,0.31441412520064205,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Elizabeth Arden Advanced Ceramide Capsules Daily Youth Restoring Eye Serum (60 Pack),Serum,Elizabeth Arden,Premium,52.0,Premium,28,2,3,0.37441412520064205,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2
Estée Lauder Perfectionist Pro Multi-Defense Aqua UV Gel SPF 50 with 8 Anti-Oxidants,Serum,Estée Lauder,Premium,32.4,Mid-range,49,2,4,0.511653290529695,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
NIP+FAB Retinol Fix Serum Extreme 50ml,Serum,NIP+FAB,Budget,29.95,Mid-range,25,1,2,0.25807383627608343,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
Origins Plantscription Anti-Aging Power Serum 50ml,Serum,Origins,Mid-range,65.0,Premium,58,1,3,0.44924558587479935,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
Estée Lauder Perfectionist Pro Rapid Brightening Treatment with Ferment2+ Vitamin C 50ml,Serum,Estée Lauder,Premium,77.4,Premium,58,4,5,0.7149598715890851,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1
Peter Thomas Roth Retinol Fusion PM 30ml,Serum,Peter Thomas Roth,Premium,55.5,Premium,11,1,1,0.15229534510433385,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3
Elizabeth Arden Skin Illuminating Advanced Brightening Night Capsules (50 Capsules),Serum,Elizabeth Arden,Premium,60.0,Premium,28,2,3,0.37441412520064205,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1
Caudalie VineActiv Glow Activating Anti-Wrinkle Serum 30ml,Serum,Caudalie,Mid-range,36.0,Mid-range,21,1,1,0.19723916532905297,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sukin Super Greens Recovery Serum 30ml,Serum,Sukin,Budget,13.95,Affordable,21,1,2,0.24009630818619582,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Pai Skincare Back to Life Hydration Serum 30ml,Serum,Pai,Premium,42.0,Mid-range,21,1,2,0.24009630818619582,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
OSKIA Super 16 Serum (30ml),Serum,OSKIA,Premium,90.0,Premium,36,1,2,0.30751203852327447,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
La Roche-Posay Pigmentclar Serum 30ml,Serum,La Roche-Posay,Mid-range,30.0,Mid-range,28,4,7,0.6658426966292135,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
"Clinique Repairwear Laser Focus Smooths, Restores, Refines 50ml",Serum,Clinique,Mid-range,47.0,Mid-range,41,1,3,0.3728410914927769,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
DECLÉOR Aromessence Green Mandarin Essential Oil Serum 15ml,Serum,DECLÉOR,Premium,38.5,Mid-range,20,1,1,0.19274478330658104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
DECLÉOR Organic Aromessence Rose d'Orient Soothing Comfort Oil Serum,Serum,DECLÉOR,Premium,36.4,Mid-range,15,1,1,0.1702728731942215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Lancôme Advanced Génifique Youth Activating Serum 30ml,Serum,Lancôme,Premium,53.55,Premium,33,1,2,0.2940288924558587,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Lancôme Advanced Génifique Youth Activating Serum 50ml,Serum,Lancôme,Premium,75.15,Premium,33,1,2,0.2940288924558587,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Lancôme Advanced Génifique Youth Activating Serum 75ml,Serum,Lancôme,Premium,90.45,Premium,33,1,2,0.2940288924558587,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Lancôme Advanced Génifique Youth Activating Serum 115ml,Serum,Lancôme,Premium,114.3,Luxury,33,1,2,0.2940288924558587,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
COSRX AC Collection Blemish Spot Clearing Serum 40ml,Serum,COSRX,Mid-range,27.0,Mid-range,24,5,5,0.6221508828250402,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1
Holika Holika 3 Seconds Starter (Hyaluronic Acid),Serum,Holika Holika,Budget,12.95,Affordable,34,1,1,0.2556661316211878,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dermalogica AGE Bright Clearing Serum 30ml,Serum,Dermalogica,Premium,52.65,Premium,32,4,4,0.5552487961476725,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1
Dr. Hauschka Night Serum 20ml,Serum,Dr. Hauschka,Premium,29.5,Mid-range,15,1,1,0.1702728731942215,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Elizabeth Arden SuperStart Skin Renewal Booster 50ml,Serum,Elizabeth Arden,Premium,60.0,Premium,36,2,3,0.41036918138041734,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Lancôme Génifique Double Drop Serum 20ml,Serum,Lancôme,Premium,54.0,Premium,23,1,2,0.24908507223113963,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
SkinCeuticals Discoloration Defense Corrective Serum 30ml,Serum,SkinCeuticals,Premium,85.0,Premium,13,5,3,0.4869983948635634,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1
Aurelia Probiotic Skincare Revitalise & Glow Serum 30ml,Serum,Aurelia,Premium,51.2,Premium,29,1,3,0.3189085072231139,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Estée Lauder Idealist Pore Minimizing Skin Refinisher 30ml,Serum,Estée Lauder,Premium,42.3,Mid-range,55,1,4,0.4786195826645264,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,2
Estée Lauder Perfectionist [CP+R] Wrinkle Lifting/Firming Serum 30ml,Serum,Estée Lauder,Premium,55.8,Premium,68,1,4,0.5370465489566613,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,2
DECLÉOR Aromessence Magnolia Youthful Oil Serum 15ml 0.5oz,Serum,DECLÉOR,Premium,49.0,Mid-range,26,1,1,0.21971107544141252,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Murad Retinol Youth Renewal Serum Travel Size,Serum,Murad,Premium,25.0,Affordable,52,2,5,0.5679935794542537,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,2
Caudalie Resvératrol Lift Firming Serum (30ml),Serum,Caudalie,Mid-range,46.0,Mid-range,27,1,3,0.30991974317817017,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2
Pai Skincare Instant Calm Redness Serum Sea Aster and Wild Oat 30ml,Serum,Pai,Premium,46.0,Mid-range,22,1,3,0.28744783306581057,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Gallinée Probiotic Youthful Serum 30ml,Serum,Gallinée,Mid-range,38.25,Mid-range,24,1,3,0.29643659711075443,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
PIXI Hydrating Milky Serum 30ml,Serum,PIXI,Mid-range,26.0,Mid-range,20,1,1,0.19274478330658104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Darphin Intral Redness Relief Soothing Serum,Serum,Darphin,Premium,74.0,Premium,28,2,2,0.3315569823434992,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Zelens Z Hyaluron Hyaluronic Acid Complex Serum Drops 30ml,Serum,Zelens,Premium,55.0,Premium,25,1,2,0.25807383627608343,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Dr Dennis Gross Skincare C+Collagen Brighten and Firm Vitamin C Serum 30ml,Serum,Dr,Premium,79.0,Premium,38,4,4,0.582215088282504,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1
Estée Lauder Perfectionist Pro Rapid Firm + Lift Serum Hexapeptide-8 50ml,Serum,Estée Lauder,Premium,77.4,Premium,87,1,5,0.6652969502407704,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,2
GLAMGLOW Superserum 30ml,Serum,GLAMGLOW,Premium,48.0,Mid-range,43,4,5,0.6475441412520064,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1
Too Faced Hangover Good in Bed Ultra-Hydrating Replenishing Serum 29ml,Serum,Too Faced,Premium,32.0,Mid-range,24,2,4,0.39929373996789724,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,2
Elizabeth Arden Prevage Face Advanced Anti-Aging Serum (50ml),Serum,Elizabeth Arden,Premium,170.0,Luxury,37,1,2,0.3120064205457464,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Liz Earle Superskin Face Serum 30ml Pump,Serum,Liz Earle,Mid-range,45.0,Mid-range,45,1,4,0.4336757624398073,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Sukin Purely Ageless Firming Serum 30ml,Serum,Sukin,Budget,19.95,Affordable,22,1,2,0.2445906902086677,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bobbi Brown Extra Repair Serum 30ml,Serum,Pai,Premium,68.5,Premium,33,1,4,0.37974317817014447,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Indeed Labs Eysilix Serum 2 15ml,Serum,Indeed Labs,Mid-range,19.99,Affordable,45,2,4,0.4936757624398074,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Natio Advanced Lifting and Firming Serum (30ml),Serum,Natio,Budget,15.2,Affordable,17,1,1,0.1792616372391653,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Holika Holika 3 Seconds Starter (Collagen),Serum,Holika Holika,Budget,12.95,Affordable,19,1,1,0.18825040128410914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
REN Clean Skincare Keep Young and Beautiful Instant Firming Beauty Shot,Serum,REN,Premium,42.0,Mid-range,12,1,1,0.15678972712680578,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
The Organic Pharmacy Four Acid Peel Serum 30ml,Serum,The Organic Pharmacy,Premium,30.0,Mid-range,24,1,2,0.25357945425361156,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Indeed Labs Snoxin Serum 2 30ml,Serum,Indeed Labs,Mid-range,24.99,Affordable,15,1,2,0.21313001605136433,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2
Neal's Yard Remedies Beauty Sleep Concentrate 30ml,Serum,Neal's Yard Remedies,Mid-range,35.0,Mid-range,36,1,4,0.3932263242375602,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
L'Oreal Paris Dermo Expertise Revitalift Laser Renew Anti-ageing Triple Action Super Serum (30ml),Serum,REN,Premium,24.99,Affordable,35,4,5,0.6115890850722312,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1
ELEMIS Pro-Collagen Definition Face and Neck Serum 30ml,Serum,Elemis,Premium,92.0,Premium,37,1,5,0.44057784911717496,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2
Lancôme Visionnaire Serum Plus 30ml,Serum,Lancôme,Premium,57.6,Premium,27,1,2,0.2670626003210273,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Aurelia Skincare Firm & Replenish Body Serum 250ml,Serum,Aurelia,Premium,38.4,Mid-range,45,4,5,0.6565329052969503,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1
Chantecaille Vital Essence 50ml,Serum,Chantecaille,Premium,96.0,Premium,31,1,2,0.2850401284109149,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Indeed Labs Pepta-Bright 30ml,Serum,Indeed Labs,Mid-range,24.99,Affordable,29,1,5,0.40462279293739967,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2
Omorovicza Instant Perfection Serum (30ml),Serum,Omorovicza,Premium,87.0,Premium,16,1,1,0.17476725521669342,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Elizabeth Arden Skin Illuminating Advanced Brightening Day Serum (30ml),Serum,Elizabeth Arden,Premium,55.0,Premium,47,5,5,0.7255216693418941,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1
FOREO 'Serum Serum Serum' Micro-Capsule Youth Preserve,Serum,FOREO,Mid-range,49.0,Mid-range,44,2,1,0.3606099518459069,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aveda Hand Relief Night Renewal Serum 30ml,Serum,REN,Premium,27.0,Mid-range,44,4,5,0.6520385232744783,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1
Sukin Hydration Biomarine Facial Serum 30ml,Serum,Sukin,Budget,19.95,Affordable,18,1,2,0.22661316211878008,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dermalogica Multivitamin Power Serum (22ml),Serum,Dermalogica,Premium,57.15,Premium,33,1,3,0.3368860353130016,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2
Sarah Chapman Skinesis Skin Tone Perfecting Booster (30ml),Serum,Sarah,Premium,64.0,Premium,28,2,3,0.37441412520064205,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
DECLÉOR Hydra Floral White Petal Skin Perfecting Concentrate 30ml,Serum,DECLÉOR,Premium,36.4,Mid-range,25,4,4,0.5237881219903692,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1
Darphin Dark Circle Relief and De-Puffing Eye Serum 15ml,Serum,Darphin,Premium,42.0,Mid-range,55,4,3,0.6157624398073835,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1
Zelens Youth Concentrate Supreme Age-Defying Serum (30ml),Serum,Zelens,Premium,160.0,Luxury,39,1,4,0.40670947030497595,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2
Darphin Hydraskin Serum 30ml,Serum,Darphin,Premium,48.0,Mid-range,36,1,1,0.26465489566613165,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L'Oréal Paris Revitalift Filler + Hyaluronic Acid Replumping Serum 16ml,Serum,L'Oréal,Budget,19.99,Affordable,22,4,5,0.5531621187800962,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
Elizabeth Arden Prevage Advanced Daily Serum,Serum,Elizabeth Arden,Premium,180.0,Luxury,66,4,6,0.7937720706260032,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1
L'Oréal Paris Age Perfect Nutrition Intense Supreme Repairing Serum,Serum,L'Oréal,Budget,14.99,Affordable,29,1,3,0.3189085072231139,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Green People Age Defy+ Line Eraser Lip & Eye Serum (10ml),Serum,Green,Premium,27.6,Mid-range,35,4,4,0.5687319422150883,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1
The Organic Pharmacy Stabilised Vitamin C Serum 30ml,Serum,The Organic Pharmacy,Premium,45.0,Mid-range,16,1,1,0.17476725521669342,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Erno Laszlo AHA Resurfacing Sleep Serum,Serum,Erno Laszlo,Premium,95.0,Premium,25,4,4,0.5237881219903692,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1
DHC Deep Cleansing Oil 30ml,Oil,DHC,Mid-range,5.0,Budget,8,1,1,0.13881219903691813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
DHC Deep Cleansing Oil 70ml,Oil,DHC,Mid-range,12.5,Affordable,8,1,1,0.13881219903691813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
DHC Deep Cleansing Oil 200ml,Oil,DHC,Mid-range,24.0,Affordable,8,1,1,0.13881219903691813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Pai Skincare Rosehip BioRegenerate Oil 30ml,Oil,Pai,Premium,24.0,Affordable,4,1,1,0.12083467094703049,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Clinique Take The Day Off Cleansing Oil 200ml,Oil,Clinique,Mid-range,23.0,Affordable,12,1,3,0.24250401284109147,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"The Ordinary ""B"" Oil 30ml",Oil,The Ordinary,Budget,9.0,Budget,19,1,1,0.18825040128410914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
The Ordinary 100% Cold Pressed Virgin Marula Oil 30ml,Oil,The Ordinary,Budget,8.4,Budget,1,1,1,0.10735152487961475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Caudalie Make-Up Removing Cleansing Oil 150ml,Oil,Caudalie,Mid-range,18.0,Affordable,8,1,1,0.13881219903691813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
NUXE Huile Prodigieuse Multi Usage Dry Oil 50ml,Oil,NUXE,Mid-range,18.5,Affordable,24,1,1,0.2107223113964687,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NUXE Huile Prodigieuse Multi Usage Dry Oil 100ml,Oil,NUXE,Mid-range,29.5,Mid-range,24,1,1,0.2107223113964687,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Face by Skinny Tan Moisturising Oil Drops 30ml,Oil,Face,Budget,14.99,Affordable,14,1,2,0.20863563402889246,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The Ordinary 100% Organic Virgin Chia Seed Oil,Oil,The Ordinary,Budget,6.0,Budget,1,1,1,0.10735152487961475,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
Mama Mio The Tummy Rub Oil 120ml,Oil,Mama Mio,Mid-range,27.0,Mid-range,17,1,1,0.1792616372391653,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NUXE Huile Prodigieuse Golden Shimmer Multi Usage Dry Oil 50ml,Oil,NUXE,Mid-range,22.5,Affordable,28,1,2,0.2715569823434992,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"JASON Vitamin E 5,000iu Oil - All Over Body Nourishment 118ml",Oil,JASON,Budget,7.49,Budget,10,1,1,0.14780096308186194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Elizabeth Arden Eight Hour All-Over Miracle Oil (100ml),Oil,Elizabeth Arden,Premium,29.0,Mid-range,24,2,2,0.31357945425361156,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Elemis Superfood Facial Oil 15ml,Oil,Elemis,Premium,45.0,Mid-range,28,1,1,0.22869983948635633,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bareMinerals OIL OBSESSED Oil Cleanser,Oil,bareMinerals,Mid-range,24.0,Affordable,16,1,1,0.17476725521669342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Bondi Sands Liquid Gold Self Tanning Oil 150ml,Oil,Bondi,Budget,11.99,Affordable,23,1,2,0.24908507223113963,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Indeed Labs Squalane Facial Oil 30ml,Oil,Indeed Labs,Mid-range,19.99,Affordable,1,1,1,0.10735152487961475,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
TanOrganic Self-Tanning Oil - Brown (100ml),Oil,TanOrganic,Mid-range,18.74,Affordable,13,1,3,0.2469983948635634,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Caudalie VineActiv Overnight Detox Oil 30ml,Oil,Caudalie,Mid-range,30.0,Mid-range,16,1,1,0.17476725521669342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Mama Mio The Tummy Rub Oil 200ml,Oil,Mama Mio,Mid-range,35.0,Mid-range,17,1,1,0.1792616372391653,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NUXE Sun Tanning Oil Face and Body SPF 30 (150ml),Oil,NUXE,Mid-range,19.5,Affordable,28,2,2,0.3315569823434992,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Sarah Chapman Skinesis Supersize Overnight Facial Oil 30ml,Oil,Sarah,Premium,84.0,Premium,51,2,3,0.47778491171749593,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2
"JASON Vitamin E 32,000iu Oil - Scar & Stretch Mark Treatment 30ml",Oil,JASON,Budget,9.49,Budget,1,1,1,0.10735152487961475,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
Bondi Sands Everyday Liquid Gold Gradual Tanning Oil 270ml,Oil,Bondi,Budget,11.19,Affordable,20,1,2,0.23560192616372388,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Trilogy Certified Organic Rosehip Oil 20ml,Oil,Trilogy,Premium,19.5,Affordable,1,1,1,0.10735152487961475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Elizabeth Arden Ceramide Cleansing Face Oil (195ml),Oil,Elizabeth Arden,Premium,25.0,Affordable,9,1,1,0.14330658105939004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Trilogy Certified Organic Rosehip Oil 45ml,Oil,Trilogy,Premium,34.5,Mid-range,1,1,1,0.10735152487961475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
BBB London Luscious Lash Oil 7.5ml,Oil,BBB,Mid-range,24.0,Affordable,17,2,2,0.28211878009630814,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
PIXI Rose Oil Blend 30ml,Oil,PIXI,Mid-range,26.0,Mid-range,8,1,1,0.13881219903691813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Sanctuary Spa Calming CBD Oil 45ml,Oil,Sanctuary Spa,Budget,12.5,Affordable,26,1,1,0.21971107544141252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Sukin Rose Hip Oil (25ml),Oil,Sukin,Budget,13.95,Affordable,1,1,1,0.10735152487961475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
